Tiempo ,CONTROL,PID,ANGULO,REFERENCIA,PERTURBACION
-0.4,0.0,0.0,0.0,0.0,0.0
-0.38,0.0,0.0,0.0,0.0,0.0
-0.36,0.0,0.0,0.0,0.0,0.0
-0.34,0.0,0.0,0.0,0.0,0.0
-0.32,0.0,0.0,0.0,0.0,0.0
-0.3,0.0,0.0,0.0,0.0,0.0
-0.28,0.0,0.0,0.0,0.0,0.0
-0.26,0.0,0.0,0.0,0.0,0.0
-0.24,0.0,0.0,0.0,0.0,0.0
-0.22,0.0,0.0,0.0,0.0,0.0
-0.2,0.0,0.0,0.0,0.0,0.0
-0.18,0.0,0.0,0.0,0.0,0.0
-0.16,0.0,0.0,0.0,0.0,0.0
-0.14,0.0,0.0,0.0,0.0,0.0
-0.12,0.0,0.0,0.0,0.0,0.0
-0.1,0.0,0.0,0.0,0.0,0.0
-0.08,0.0,0.0,0.0,0.0,0.0
-0.06,0.0,0.0,0.0,0.0,0.0
-0.04,0.0,0.0,0.0,0.0,0.0
-0.02,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,-0.0,0.0,0.0
0.02,0.0,0.0,-0.0,0.0,0.0
0.04,0.009,0.009,-0.0,0.6,0.0
0.06,0.017,0.017,-0.0,0.6,0.0
0.08,0.026,0.026,-0.0,0.6,0.0
0.1,0.035,0.035,-0.0,0.6,0.0
0.12,0.043,0.043,-0.0,0.6,0.0
0.14,0.052,0.052,-0.0,0.6,0.0
0.16,0.061,0.061,-0.0,0.6,0.0
0.18,0.069,0.069,-0.0,0.6,0.0
0.2,0.078,0.078,-0.0,0.6,0.0
0.22,0.087,0.087,-0.0,0.6,0.0
0.24,0.095,0.095,-0.0,0.6,0.0
0.26,0.104,0.104,-0.0,0.6,0.0
0.28,0.113,0.113,-0.0,0.6,0.0
0.3,0.121,0.121,-0.0,0.6,0.0
0.32,0.13,0.13,-0.0,0.6,0.0
0.34,0.139,0.139,-0.0,0.6,0.0
0.36,0.147,0.147,-0.0,0.6,0.0
0.38,0.156,0.156,-0.0,0.6,0.0
0.4,0.165,0.165,-0.0,0.6,0.0
0.42,0.173,0.173,-0.0,0.6,0.0
0.44,0.182,0.182,-0.0,0.6,0.0
0.46,0.191,0.191,-0.0,0.6,0.0
0.48,0.199,0.199,-0.0,0.6,0.0
0.5,0.208,0.208,-0.0,0.6,0.0
0.52,0.217,0.217,-0.0,0.6,0.0
0.54,0.225,0.225,-0.0,0.6,0.0
0.56,0.234,0.234,-0.0,0.6,0.0
0.58,0.243,0.243,-0.0,0.6,0.0
0.6,0.251,0.251,-0.0,0.6,0.0
0.62,0.26,0.26,-0.0,0.6,0.0
0.64,0.269,0.269,-0.0,0.6,0.0
0.66,0.277,0.277,-0.0,0.6,0.0
0.68,0.286,0.286,-0.0,0.6,0.0
0.7,0.295,0.295,-0.0,0.6,0.0
0.72,0.303,0.303,-0.0,0.6,0.0
0.74,0.312,0.312,-0.0,0.6,0.0
0.76,0.321,0.321,-0.0,0.6,0.0
0.78,0.329,0.329,-0.0,0.6,0.0
0.8,0.338,0.338,-0.0,0.6,0.0
0.82,0.347,0.347,-0.0,0.6,0.0
0.84,0.355,0.355,-0.0,0.6,0.0
0.86,0.364,0.364,-0.0,0.6,0.0
0.88,0.373,0.373,-0.0,0.6,0.0
0.9,0.381,0.381,-0.0,0.6,0.0
0.92,0.39,0.39,-0.0,0.6,0.0
0.94,0.399,0.399,-0.0,0.6,0.0
0.96,0.402,0.402,0.002,0.6,0.0
0.98,0.411,0.411,0.002,0.6,0.0
1.0,0.415,0.415,0.003,0.6,0.0
1.02,0.425,0.425,0.003,0.6,0.0
1.04,0.429,0.429,0.005,0.6,0.0
1.06,0.434,0.434,0.007,0.6,0.0
1.08,0.434,0.434,0.01,0.6,0.0
1.1,0.44,0.44,0.012,0.6,0.0
1.12,0.441,0.441,0.016,0.6,0.0
1.14,0.444,0.444,0.019,0.6,0.0
1.16,0.447,0.447,0.023,0.6,0.0
1.18,0.451,0.451,0.026,0.6,0.0
1.2,0.451,0.451,0.031,0.6,0.0
1.22,0.451,0.451,0.037,0.6,0.0
1.24,0.453,0.453,0.042,0.6,0.0
1.26,0.457,0.457,0.047,0.6,0.0
1.28,0.455,0.455,0.054,0.6,0.0
1.3,0.461,0.461,0.059,0.6,0.0
1.32,0.462,0.462,0.066,0.6,0.0
1.34,0.465,0.465,0.073,0.6,0.0
1.36,0.463,0.463,0.082,0.6,0.0
1.38,0.468,0.468,0.089,0.6,0.0
1.4,0.475,0.475,0.096,0.6,0.0
1.42,0.476,0.476,0.105,0.6,0.0
1.44,0.485,0.485,0.112,0.6,0.0
1.46,0.489,0.489,0.12,0.6,0.0
1.48,0.5,0.5,0.127,0.6,0.0
1.5,0.505,0.505,0.136,0.6,0.0
1.52,0.518,0.518,0.143,0.6,0.0
1.54,0.525,0.525,0.152,0.6,0.0
1.56,0.544,0.544,0.157,0.6,0.0
1.58,0.551,0.551,0.166,0.6,0.0
1.6,0.565,0.565,0.173,0.6,0.0
1.62,0.579,0.579,0.18,0.6,0.0
1.64,0.598,0.598,0.185,0.6,0.0
1.66,0.611,0.611,0.192,0.6,0.0
1.68,0.63,0.63,0.197,0.6,0.0
1.7,0.649,0.649,0.202,0.6,0.0
1.72,0.667,0.667,0.208,0.6,0.0
1.74,0.684,0.684,0.213,0.6,0.0
1.76,0.706,0.706,0.216,0.6,0.0
1.78,0.722,0.722,0.222,0.6,0.0
1.8,0.743,0.743,0.225,0.6,0.0
1.82,0.763,0.763,0.229,0.6,0.0
1.84,0.788,0.788,0.23,0.6,0.0
1.86,0.805,0.805,0.234,0.6,0.0
1.88,0.822,0.822,0.237,0.6,0.0
1.9,0.843,0.843,0.239,0.6,0.0
1.92,0.864,0.864,0.241,0.6,0.0
1.94,0.889,0.889,0.241,0.6,0.0
1.96,0.906,0.906,0.243,0.6,0.0
1.98,0.923,0.923,0.244,0.6,0.0
2.0,0.938,0.938,0.246,0.6,0.0
2.02,0.953,0.953,0.248,0.6,0.0
2.04,0.973,0.973,0.248,0.6,0.0
2.06,0.986,0.986,0.25,0.6,0.0
2.08,0.998,0.998,0.251,0.6,0.0
2.1,1.01,1.01,0.253,0.6,0.0
2.12,1.021,1.021,0.255,0.6,0.0
2.14,1.032,1.032,0.257,0.6,0.0
2.16,1.043,1.043,0.258,0.6,0.0
2.18,1.054,1.054,0.26,0.6,0.0
2.2,1.058,1.058,0.264,0.6,0.0
2.22,1.069,1.069,0.265,0.6,0.0
2.24,1.073,1.073,0.269,0.6,0.0
2.26,1.078,1.078,0.272,0.6,0.0
2.28,1.084,1.084,0.276,0.6,0.0
2.3,1.084,1.084,0.281,0.6,0.0
2.32,1.09,1.09,0.284,0.6,0.0
2.34,1.092,1.092,0.29,0.6,0.0
2.36,1.094,1.094,0.295,0.6,0.0
2.38,1.097,1.097,0.3,0.6,0.0
2.4,1.101,1.101,0.305,0.6,0.0
2.42,1.099,1.099,0.312,0.6,0.0
2.44,1.1,1.1,0.319,0.6,0.0
2.46,1.106,1.106,0.325,0.6,0.0
2.48,1.108,1.108,0.332,0.6,0.0
2.5,1.11,1.11,0.339,0.6,0.0
2.52,1.114,1.114,0.346,0.6,0.0
2.54,1.118,1.118,0.353,0.6,0.0
2.56,1.123,1.123,0.36,0.6,0.0
2.58,1.129,1.129,0.367,0.6,0.0
2.6,1.135,1.135,0.374,0.6,0.0
2.62,1.142,1.142,0.38,0.6,0.0
2.64,1.149,1.149,0.387,0.6,0.0
2.66,1.157,1.157,0.394,0.6,0.0
2.68,1.17,1.17,0.4,0.6,0.0
2.7,1.178,1.178,0.407,0.6,0.0
2.72,1.191,1.191,0.412,0.6,0.0
2.74,1.199,1.199,0.419,0.6,0.0
2.76,1.212,1.212,0.424,0.6,0.0
