Tiempo ,CONTROL,PID,ANGULO,REFERENCIA,PERTURBACION
-0.4,0.0,0.0,0.0,0.0,0.0
-0.38,0.0,0.0,0.0,0.0,0.0
-0.36,0.0,0.0,0.0,0.0,0.0
-0.34,0.0,0.0,0.0,0.0,0.0
-0.32,0.0,0.0,0.0,0.0,0.0
-0.3,0.0,0.0,0.0,0.0,0.0
-0.28,0.0,0.0,0.0,0.0,0.0
-0.26,0.0,0.0,0.0,0.0,0.0
-0.24,0.0,0.0,0.0,0.0,0.0
-0.22,0.0,0.0,0.0,0.0,0.0
-0.2,0.0,0.0,0.0,0.0,0.0
-0.18,0.0,0.0,0.0,0.0,0.0
-0.16,0.0,0.0,0.0,0.0,0.0
-0.14,0.0,0.0,0.0,0.0,0.0
-0.12,0.0,0.0,0.0,0.0,0.0
-0.1,0.0,0.0,0.0,0.0,0.0
-0.08,0.0,0.0,0.0,0.0,0.0
-0.06,0.0,0.0,0.0,0.0,0.0
-0.04,0.0,0.0,0.0,0.0,0.0
-0.02,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,-0.0,0.0,0.0
0.02,0.0,0.0,-0.0,0.0,0.0
0.04,0.164,0.164,-0.0,0.6,0.0
0.06,0.159,0.159,-0.0,0.6,0.0
0.08,0.155,0.155,-0.0,0.6,0.0
0.1,0.153,0.153,-0.0,0.6,0.0
0.12,0.151,0.151,-0.0,0.6,0.0
0.14,0.151,0.151,-0.0,0.6,0.0
0.16,0.152,0.152,-0.0,0.6,0.0
0.18,0.153,0.153,-0.0,0.6,0.0
0.2,0.156,0.156,-0.0,0.6,0.0
0.22,0.159,0.159,-0.0,0.6,0.0
0.24,0.164,0.164,-0.0,0.6,0.0
0.26,0.169,0.169,-0.0,0.6,0.0
0.28,0.175,0.175,-0.0,0.6,0.0
0.3,0.181,0.181,-0.0,0.6,0.0
0.32,0.188,0.188,-0.0,0.6,0.0
0.34,0.196,0.196,-0.0,0.6,0.0
0.36,0.205,0.205,-0.0,0.6,0.0
0.38,0.214,0.214,-0.0,0.6,0.0
0.4,0.223,0.223,-0.0,0.6,0.0
0.42,0.234,0.234,-0.0,0.6,0.0
0.44,0.244,0.244,-0.0,0.6,0.0
0.46,0.255,0.255,-0.0,0.6,0.0
0.48,0.267,0.267,-0.0,0.6,0.0
0.5,0.279,0.279,-0.0,0.6,0.0
0.52,0.292,0.292,-0.0,0.6,0.0
0.54,0.305,0.305,-0.0,0.6,0.0
0.56,0.318,0.318,-0.0,0.6,0.0
0.58,0.332,0.332,-0.0,0.6,0.0
0.6,0.346,0.346,-0.0,0.6,0.0
0.62,0.36,0.36,-0.0,0.6,0.0
0.64,0.375,0.375,-0.0,0.6,0.0
0.66,0.39,0.39,-0.0,0.6,0.0
0.68,0.405,0.405,-0.0,0.6,0.0
0.7,0.42,0.42,-0.0,0.6,0.0
0.72,0.436,0.436,-0.0,0.6,0.0
0.74,0.452,0.452,-0.0,0.6,0.0
0.76,0.468,0.468,0.002,0.6,0.0
0.78,0.484,0.484,0.002,0.6,0.0
0.8,0.501,0.501,0.003,0.6,0.0
0.82,0.518,0.518,0.003,0.6,0.0
0.84,0.534,0.534,0.005,0.6,0.0
0.86,0.551,0.551,0.007,0.6,0.0
0.88,0.568,0.568,0.009,0.6,0.0
0.9,0.585,0.585,0.012,0.6,0.0
0.92,0.602,0.602,0.016,0.6,0.0
0.94,0.619,0.619,0.019,0.6,0.0
0.96,0.636,0.636,0.023,0.6,0.0
0.98,0.653,0.653,0.028,0.6,0.0
1.0,0.67,0.67,0.033,0.6,0.0
1.02,0.687,0.687,0.038,0.6,0.0
1.04,0.704,0.704,0.045,0.6,0.0
1.06,0.721,0.721,0.052,0.6,0.0
1.08,0.737,0.737,0.061,0.6,0.0
1.1,0.754,0.754,0.068,0.6,0.0
1.12,0.771,0.771,0.077,0.6,0.0
1.14,0.787,0.787,0.087,0.6,0.0
1.16,0.803,0.803,0.098,0.6,0.0
1.18,0.82,0.82,0.108,0.6,0.0
1.2,0.836,0.836,0.119,0.6,0.0
1.22,0.852,0.852,0.131,0.6,0.0
1.24,0.867,0.867,0.143,0.6,0.0
1.26,0.883,0.883,0.155,0.6,0.0
1.28,0.899,0.899,0.168,0.6,0.0
1.3,0.914,0.914,0.182,0.6,0.0
1.32,0.929,0.929,0.195,0.6,0.0
1.34,0.945,0.945,0.208,0.6,0.0
1.36,0.96,0.96,0.222,0.6,0.0
1.38,0.975,0.975,0.236,0.6,0.0
1.4,0.989,0.989,0.25,0.6,0.0
1.42,1.004,1.004,0.264,0.6,0.0
1.44,1.018,1.018,0.278,0.6,0.0
1.46,1.032,1.032,0.291,0.6,0.0
1.48,1.046,1.046,0.305,0.6,0.0
1.5,1.06,1.06,0.318,0.6,0.0
1.52,1.074,1.074,0.332,0.6,0.0
1.54,1.088,1.088,0.344,0.6,0.0
1.56,1.101,1.101,0.356,0.6,0.0
1.58,1.114,1.114,0.368,0.6,0.0
1.6,1.128,1.128,0.379,0.6,0.0
1.62,1.141,1.141,0.389,0.6,0.0
1.64,1.154,1.154,0.4,0.6,0.0
1.66,1.166,1.166,0.41,0.6,0.0
1.68,1.179,1.179,0.419,0.6,0.0
1.7,1.191,1.191,0.428,0.6,0.0
1.72,1.204,1.204,0.435,0.6,0.0
1.74,1.216,1.216,0.442,0.6,0.0
1.76,1.228,1.228,0.449,0.6,0.0
1.78,1.24,1.24,0.454,0.6,0.0
1.8,1.251,1.251,0.461,0.6,0.0
1.82,1.263,1.263,0.464,0.6,0.0
1.84,1.274,1.274,0.469,0.6,0.0
1.86,1.285,1.285,0.471,0.6,0.0
1.88,1.296,1.296,0.475,0.6,0.0
1.9,1.307,1.307,0.476,0.6,0.0
1.92,1.318,1.318,0.478,0.6,0.0
1.94,1.328,1.328,0.48,0.6,0.0
1.96,1.339,1.339,0.48,0.6,0.0
1.98,1.348,1.348,0.482,0.6,0.0
2.0,1.358,1.358,0.482,0.6,0.0
2.02,1.369,1.369,0.48,0.6,0.0
2.04,1.378,1.378,0.48,0.6,0.0
2.06,1.388,1.388,0.478,0.6,0.0
2.08,1.397,1.397,0.476,0.6,0.0
2.1,1.406,1.406,0.475,0.6,0.0
2.12,1.415,1.415,0.473,0.6,0.0
2.14,1.424,1.424,0.471,0.6,0.0
2.16,1.432,1.432,0.469,0.6,0.0
2.18,1.441,1.441,0.468,0.6,0.0
2.2,1.449,1.449,0.464,0.6,0.0
2.22,1.457,1.457,0.463,0.6,0.0
2.24,1.465,1.465,0.461,0.6,0.0
2.26,1.473,1.473,0.459,0.6,0.0
2.28,1.481,1.481,0.457,0.6,0.0
2.3,1.488,1.488,0.456,0.6,0.0
2.32,1.496,1.496,0.454,0.6,0.0
2.34,1.503,1.503,0.452,0.6,0.0
2.36,1.51,1.51,0.452,0.6,0.0
2.38,1.517,1.517,0.45,0.6,0.0
2.4,1.523,1.523,0.45,0.6,0.0
2.42,1.53,1.53,0.45,0.6,0.0
2.44,1.536,1.536,0.45,0.6,0.0
2.46,1.543,1.543,0.45,0.6,0.0
2.48,1.549,1.549,0.452,0.6,0.0
2.5,1.554,1.554,0.454,0.6,0.0
2.52,1.56,1.56,0.456,0.6,0.0
2.54,1.566,1.566,0.457,0.6,0.0
2.56,1.572,1.572,0.459,0.6,0.0
2.58,1.577,1.577,0.463,0.6,0.0
2.6,1.582,1.582,0.466,0.6,0.0
2.62,1.587,1.587,0.469,0.6,0.0
2.64,1.592,1.592,0.473,0.6,0.0
2.66,1.597,1.597,0.478,0.6,0.0
2.68,1.602,1.602,0.482,0.6,0.0
2.7,1.606,1.606,0.487,0.6,0.0
2.72,1.611,1.611,0.492,0.6,0.0
2.74,1.615,1.615,0.497,0.6,0.0
2.76,1.619,1.619,0.504,0.6,0.0
