Tiempo ,CONTROL,REI,VELOCIDAD,ANGULO,REFERENCIA,PERTURBACION
-0.4,0.0,0.0,0.0,0.0,0.0,0.0
-0.38,0.0,0.0,0.0,0.0,0.0,0.0
-0.36,0.0,0.0,0.0,0.0,0.0,0.0
-0.34,0.0,0.0,0.0,0.0,0.0,0.0
-0.32,0.0,0.0,0.0,0.0,0.0,0.0
-0.3,0.0,0.0,0.0,0.0,0.0,0.0
-0.28,0.0,0.0,0.0,0.0,0.0,0.0
-0.26,0.0,0.0,0.0,0.0,0.0,0.0
-0.24,0.0,0.0,0.0,0.0,0.0,0.0
-0.22,0.0,0.0,0.0,0.0,0.0,0.0
-0.2,0.0,0.0,0.0,0.0,0.0,0.0
-0.18,0.0,0.0,0.0,0.0,0.0,0.0
-0.16,0.0,0.0,0.0,0.0,0.0,0.0
-0.14,0.0,0.0,0.0,0.0,0.0,0.0
-0.12,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.0,0.0,0.0,0.0,0.0,0.0
-0.08,0.0,0.0,0.0,0.0,0.0,0.0
-0.06,0.0,0.0,0.0,0.0,0.0,0.0
-0.04,0.0,0.0,0.0,0.0,0.0,0.0
-0.02,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-0.0,0.0,0.0
0.02,0.0,0.0,0.0,-0.0,0.0,0.0
0.04,0.008,0.008,0.0,-0.0,0.6,0.0
0.06,0.016,0.016,0.0,-0.0,0.6,0.0
0.08,0.024,0.024,0.0,-0.0,0.6,0.0
0.1,0.032,0.032,0.0,-0.0,0.6,0.0
0.12,0.04,0.04,0.0,-0.0,0.6,0.0
0.14,0.048,0.048,0.0,-0.0,0.6,0.0
0.16,0.055,0.055,0.0,-0.0,0.6,0.0
0.18,0.063,0.063,0.0,-0.0,0.6,0.0
0.2,0.071,0.071,0.0,-0.0,0.6,0.0
0.22,0.079,0.079,0.0,-0.0,0.6,0.0
0.24,0.087,0.087,0.0,-0.0,0.6,0.0
0.26,0.095,0.095,0.0,-0.0,0.6,0.0
0.28,0.103,0.103,0.0,-0.0,0.6,0.0
0.3,0.111,0.111,0.0,-0.0,0.6,0.0
0.32,0.119,0.119,0.0,-0.0,0.6,0.0
0.34,0.127,0.127,0.0,-0.0,0.6,0.0
