Tiempo ,CONTROL,REI,VELOCIDAD,ANGULO,REFERENCIA,PERTURBACION
-0.4,0.0,0.0,0.0,0.0,0.0,0.0
-0.38,0.0,0.0,0.0,0.0,0.0,0.0
-0.36,0.0,0.0,0.0,0.0,0.0,0.0
-0.34,0.0,0.0,0.0,0.0,0.0,0.0
-0.32,0.0,0.0,0.0,0.0,0.0,0.0
-0.3,0.0,0.0,0.0,0.0,0.0,0.0
-0.28,0.0,0.0,0.0,0.0,0.0,0.0
-0.26,0.0,0.0,0.0,0.0,0.0,0.0
-0.24,0.0,0.0,0.0,0.0,0.0,0.0
-0.22,0.0,0.0,0.0,0.0,0.0,0.0
-0.2,0.0,0.0,0.0,0.0,0.0,0.0
-0.18,0.0,0.0,0.0,0.0,0.0,0.0
-0.16,0.0,0.0,0.0,0.0,0.0,0.0
-0.14,0.0,0.0,0.0,0.0,0.0,0.0
-0.12,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.0,0.0,0.0,0.0,0.0,0.0
-0.08,0.0,0.0,0.0,0.0,0.0,0.0
-0.06,0.0,0.0,0.0,0.0,0.0,0.0
-0.04,0.0,0.0,0.0,0.0,0.0,0.0
-0.02,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-0.0,0.0,0.0
0.02,0.0,0.0,0.0,-0.0,0.0,0.0
0.04,0.046,0.046,0.0,-0.0,0.6,0.0
0.06,0.091,0.091,0.0,-0.0,0.6,0.0
0.08,0.137,0.137,0.0,-0.0,0.6,0.0
0.1,0.183,0.183,0.0,-0.0,0.6,0.0
0.12,0.228,0.228,0.0,-0.0,0.6,0.0
0.14,0.274,0.274,0.0,-0.0,0.6,0.0
0.16,0.32,0.32,0.0,-0.0,0.6,0.0
0.18,0.366,0.366,0.0,-0.0,0.6,0.0
0.2,0.411,0.411,0.0,-0.0,0.6,0.0
0.22,0.457,0.457,0.0,-0.0,0.6,0.0
0.24,0.503,0.503,0.0,-0.0,0.6,0.0
0.26,0.548,0.548,0.0,-0.0,0.6,0.0
0.28,0.594,0.594,0.0,-0.0,0.6,0.0
0.3,0.64,0.64,0.0,-0.0,0.6,0.0
0.32,0.685,0.685,0.0,-0.0,0.6,0.0
0.34,0.637,0.637,0.026,0.002,0.6,0.0
