Tiempo ,CONTROL,REI,VELOCIDAD,ANGULO,REFERENCIA,PERTURBACION
-0.4,0.0,0.0,0.0,0.0,0.0,0.0
-0.38,0.0,0.0,0.0,0.0,0.0,0.0
-0.36,0.0,0.0,0.0,0.0,0.0,0.0
-0.34,0.0,0.0,0.0,0.0,0.0,0.0
-0.32,0.0,0.0,0.0,0.0,0.0,0.0
-0.3,0.0,0.0,0.0,0.0,0.0,0.0
-0.28,0.0,0.0,0.0,0.0,0.0,0.0
-0.26,0.0,0.0,0.0,0.0,0.0,0.0
-0.24,0.0,0.0,0.0,0.0,0.0,0.0
-0.22,0.0,0.0,0.0,0.0,0.0,0.0
-0.2,0.0,0.0,0.0,0.0,0.0,0.0
-0.18,0.0,0.0,0.0,0.0,0.0,0.0
-0.16,0.0,0.0,0.0,0.0,0.0,0.0
-0.14,0.0,0.0,0.0,0.0,0.0,0.0
-0.12,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.0,0.0,0.0,0.0,0.0,0.0
-0.08,0.0,0.0,0.0,0.0,0.0,0.0
-0.06,0.0,0.0,0.0,0.0,0.0,0.0
-0.04,0.0,0.0,0.0,0.0,0.0,0.0
-0.02,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-0.0,0.0,0.0
0.02,0.0,0.0,0.0,-0.0,0.0,0.0
0.04,0.035,0.035,0.0,-0.0,0.6,0.0
0.06,0.07,0.07,0.0,-0.0,0.6,0.0
0.08,0.105,0.105,0.0,-0.0,0.6,0.0
0.1,0.14,0.14,0.0,-0.0,0.6,0.0
0.12,0.175,0.175,0.0,-0.0,0.6,0.0
0.14,0.21,0.21,0.0,-0.0,0.6,0.0
0.16,0.245,0.245,0.0,-0.0,0.6,0.0
0.18,0.28,0.28,0.0,-0.0,0.6,0.0
0.2,0.315,0.315,0.0,-0.0,0.6,0.0
0.22,0.35,0.35,0.0,-0.0,0.6,0.0
0.24,0.452,0.452,-0.026,-0.002,0.6,0.0
0.26,0.454,0.454,-0.014,-0.0,0.6,0.0
0.28,0.401,0.401,0.023,-0.0,0.6,0.0
0.3,0.456,0.456,0.014,-0.0,0.6,0.0
0.32,0.514,0.514,0.004,-0.0,0.6,0.0
0.34,0.559,0.559,0.0,-0.0,0.6,0.0
