Tiempo ,YAW,PITCH,E_PITCH,E_YAW
-0.4,0.0,0.0,0.0,0.0
-0.38,0.0,0.0,0.0,0.0
-0.36,0.0,0.0,0.0,0.0
-0.34,0.0,0.0,0.0,0.0
-0.32,0.0,0.0,0.0,0.0
-0.3,0.0,0.0,0.0,0.0
-0.28,0.0,0.0,0.0,0.0
-0.26,0.0,0.0,0.0,0.0
-0.24,0.0,0.0,0.0,0.0
-0.22,0.0,0.0,0.0,0.0
-0.2,0.0,0.0,0.0,0.0
-0.18,0.0,0.0,0.0,0.0
-0.16,0.0,0.0,0.0,0.0
-0.14,0.0,0.0,0.0,0.0
-0.12,0.0,0.0,0.0,0.0
-0.1,0.0,0.0,0.0,0.0
-0.08,0.0,0.0,0.0,0.0
-0.06,0.0,0.0,0.0,0.0
-0.04,0.0,0.0,0.0,0.0
-0.02,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.02,0.0,0.0,0.0,0.0
0.04,0.0,0.0,0.0,6.0
0.06,0.0,0.0,0.0,6.0
0.08,0.0,0.0,0.0,6.0
0.1,0.0,0.0,0.0,6.0
0.12,0.0,0.0,0.0,6.0
0.14,0.0,0.0,0.0,6.0
0.16,0.0,0.0,0.0,6.0
0.18,0.0,0.0,0.0,6.0
0.2,0.0,0.0,0.0,6.0
0.22,0.0,0.0,0.0,6.0
0.24,-0.002,0.0,0.0,6.0
0.26,-0.002,0.0,0.0,6.0
0.28,-0.002,0.0,0.0,6.0
0.3,-0.002,0.0,0.0,6.0
0.32,-0.003,0.0,0.0,6.0
0.34,-0.003,0.0,0.0,6.0
0.36,-0.003,0.0,0.0,6.0
0.38,-0.005,0.0,0.0,6.0
0.4,-0.005,0.0,0.0,6.0
0.42,-0.007,0.0,0.0,6.0
0.44,-0.007,0.0,0.0,6.0
0.46,-0.009,0.0,0.0,6.0
0.48,-0.01,0.0,0.0,6.0
0.5,-0.01,0.0,0.0,6.0
0.52,-0.012,0.0,0.0,6.0
0.54,-0.014,0.0,0.0,6.0
0.56,-0.016,0.0,0.0,6.0
0.58,-0.017,0.0,0.0,6.0
0.6,-0.019,0.0,0.0,6.0
0.62,-0.021,0.0,0.0,6.0
0.64,-0.023,0.0,0.0,6.0
