Tiempo ,U_YAW,U_PITCH,W_YAW,W_PITCH,YAW,PITCH
-0.4,0.0,0.0,0.0,0.0,0.0,0.0
-0.38,0.0,0.0,0.0,0.0,0.0,0.0
-0.36,0.0,0.0,0.0,0.0,0.0,0.0
-0.34,0.0,0.0,0.0,0.0,0.0,0.0
-0.32,0.0,0.0,0.0,0.0,0.0,0.0
-0.3,0.0,0.0,0.0,0.0,0.0,0.0
-0.28,0.0,0.0,0.0,0.0,0.0,0.0
-0.26,0.0,0.0,0.0,0.0,0.0,0.0
-0.24,0.0,0.0,0.0,0.0,0.0,0.0
-0.22,0.0,0.0,0.0,0.0,0.0,0.0
-0.2,0.0,0.0,0.0,0.0,0.0,0.0
-0.18,0.0,0.0,0.0,0.0,0.0,0.0
-0.16,0.0,0.0,0.0,0.0,0.0,0.0
-0.14,0.0,0.0,0.0,0.0,0.0,0.0
-0.12,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.0,0.0,0.0,0.0,0.0,0.0
-0.08,0.0,0.0,0.0,0.0,0.0,0.0
-0.06,0.0,0.0,0.0,0.0,0.0,0.0
-0.04,0.0,0.0,0.0,0.0,0.0,0.0
-0.02,0.0,0.0,0.0,0.0,0.0,0.0
0.0,12.0,11.988,0.0,0.0,0.0,-0.583
0.02,12.0,12.211,0.0,0.0,0.0,-0.583
0.04,12.0,12.277,0.026,0.0,0.002,-0.583
0.06,12.0,12.429,0.041,0.0,0.002,-0.583
0.08,12.0,12.764,0.018,0.0,0.002,-0.583
0.1,12.0,12.901,0.03,0.0,0.003,-0.583
0.12,12.0,13.074,0.04,0.0,0.003,-0.583
0.14,12.0,13.411,0.017,0.0,0.003,-0.583
0.16,12.0,13.858,-0.023,0.0,0.002,-0.583
0.18,12.0,14.172,-0.041,0.0,0.002,-0.583
0.2,12.0,14.44,-0.045,0.0,0.0,-0.583
0.22,12.0,14.818,-0.071,0.0,-0.002,-0.583
0.24,12.0,15.133,-0.085,0.0,-0.003,-0.583
0.26,12.0,15.399,-0.088,0.0,-0.005,-0.583
0.28,11.474,15.805,-0.115,0.0,-0.009,-0.583
0.3,10.939,16.123,-0.128,0.0,-0.01,-0.583
0.32,10.784,16.416,-0.132,0.0,-0.014,-0.583
0.34,9.494,16.824,-0.158,0.0,-0.017,-0.583
