Tiempo ,U_YAW,U_PITCH,W_YAW,W_PITCH,YAW,PITCH
-0.4,0.0,0.0,0.0,0.0,0.0,0.0
-0.38,0.0,0.0,0.0,0.0,0.0,0.0
-0.36,0.0,0.0,0.0,0.0,0.0,0.0
-0.34,0.0,0.0,0.0,0.0,0.0,0.0
-0.32,0.0,0.0,0.0,0.0,0.0,0.0
-0.3,0.0,0.0,0.0,0.0,0.0,0.0
-0.28,0.0,0.0,0.0,0.0,0.0,0.0
-0.26,0.0,0.0,0.0,0.0,0.0,0.0
-0.24,0.0,0.0,0.0,0.0,0.0,0.0
-0.22,0.0,0.0,0.0,0.0,0.0,0.0
-0.2,0.0,0.0,0.0,0.0,0.0,0.0
-0.18,0.0,0.0,0.0,0.0,0.0,0.0
-0.16,0.0,0.0,0.0,0.0,0.0,0.0
-0.14,0.0,0.0,0.0,0.0,0.0,0.0
-0.12,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.0,0.0,0.0,0.0,0.0,0.0
-0.08,0.0,0.0,0.0,0.0,0.0,0.0
-0.06,0.0,0.0,0.0,0.0,0.0,0.0
-0.04,0.0,0.0,0.0,0.0,0.0,0.0
-0.02,0.0,0.0,0.0,0.0,0.0,0.0
0.0,6.552,22.0,0.0,0.0,0.0,-0.583
0.02,7.657,22.0,0.026,0.0,0.002,-0.583
0.04,8.277,22.0,0.041,0.0,0.002,-0.583
0.06,8.579,22.0,0.044,0.0,0.003,-0.583
0.08,9.687,22.0,0.071,0.0,0.005,-0.583
0.1,10.341,22.0,0.085,0.0,0.007,-0.583
0.12,11.628,22.0,0.115,0.0,0.01,-0.583
0.14,12.0,22.0,0.129,0.0,0.012,-0.583
0.16,11.65,22.0,0.106,0.0,0.014,-0.583
0.18,11.307,22.0,0.091,0.0,0.016,-0.583
0.2,11.32,22.0,0.087,0.0,0.017,-0.583
0.22,9.453,22.0,0.06,0.079,0.017,-0.578
0.24,8.955,22.0,0.046,0.095,0.019,-0.58
0.26,8.578,22.0,0.043,0.119,0.019,-0.573
0.28,4.496,17.934,0.043,0.446,0.021,-0.553
0.3,2.08,14.072,0.043,0.645,0.021,-0.545
0.32,3.069,17.139,0.017,0.495,0.021,-0.539
0.34,3.936,19.212,0.003,0.385,0.021,-0.531
